Score and Grading,Tilki,Ramnagar,Udayapur,Dashrathbasti,Simari,Khallabichawa,Binbari,Kanj,Kasba,Nand Gau,Balmi,Dunga,Khall Jain,Dekhatbhuli (Deuwa Tole),"Bhanubhakta Tole (Saraswati, Bhumiraj)",Bagphanta (Shuktaraj Tole),Rautela Khola (Bishnu Tole),Khutiya Tole,Nuklipur,Purba Lalitpur,Sano Bikree,Badhupuruwa,Thapuwa,Balapur,Bhartapur,Payal,Baidi,Shreelanka,Dakshinshahipur,Belpur,Girdharpur,Farela,Lamkipuruwa,Naya Likepur Shiber,Tihuni,Chanaura,Sangharshanagar,Tediya,Tigra,Bankatti,Banghushra,Rajipur,Sankatti,Shonaha Gau,Bangalipur,Bhagrahiya,Bhagatpur,Patharbojhi,Sonaha,Dangpur,Dhungrahi,Kumra Gau,Lauthuwa Jogipur,Bhaishakhani,Ghorpitta,Guruwa Gau,Jabdi
P04,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,C,C,B,B,C,C,C,A,C,B,B,B,B,B,B,A,B,A,B,A,B,A,B,A,A,A,B,B,A,A,B,C,C,B,B,C,B,B
P05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,C,C,C,C,D,C,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P06,C,C,C,D,D,B,B,C,C,B,C,B,B,C,C,C,C,C,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,A,B,B,C,B,C,C,C,C,B,C,C,C,C,C,C,C,C
P07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,D,D,D,D,C,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P08,C,C,C,C,C,B,B,A,B,B,C,C,B,C,C,C,C,B,B,C,C,C,C,C,C,C,B,C,C,C,B,B,C,C,B,C,B,C,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C
P09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,B,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P10,C,C,C,D,D,B,B,D,C,C,C,C,C,C,B,C,C,C,C,C,C,C,B,C,C,C,C,C,B,D,C,C,C,D,B,C,C,B,B,B,B,B,C,C,B,C,B,C,B,C,C,C,C,C,C,C,C
P11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,B,B,B,B,C,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P12,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,C,A,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,A,A,A,B,B,A,A,B,B,B,B,B,B,B,B
P13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,B,C,B,C,B,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
